survey,loc_id,benthic_feeder,pelagic_feeder,surface_feeder,gu,sandeels_presence,fish_presence,velocity,proportion,npoints,tides
1,1,0,0,0,20,0,0,1.643251112,18.25069339,125,ebb
1,10,0,0,0,2,0,0,3.622166338,3.242373912,68,ebb
1,11,0,0,0,5,0,0,3.651491043,3.695955304,69,ebb
1,12,0,0,0,4,0,0,3.70628243,21.03123649,86,ebb
1,13,0,0,0,1,0,0,3.785284739,57.15536909,88,ebb
1,14,0,0,0,12,0,0,2.924315031,5.448849268,97,ebb
1,15,0,0,0,3,0,0,0.854931807,2.805294177,192,ebb
1,16,0,0,0,3,0,0,0.566746766,1.798728521,163,ebb
1,17,0,0,0,4,0,0,0.381740327,2.224271762,122,ebb
1,18,0,0,0,1,0,0,0.322414062,3.037277379,124,ebb
1,19,0,0,0,1,0,0,0.709090209,4.926356655,55,ebb
1,2,0,0,0,2,0,1,2.231819533,4.51711601,210,ebb
1,24,1,0,0,4,0,0,2.042879316,3.354136334,100,ebb
1,25,0,0,1,1,0,0,2.104513899,3.249142699,84,ebb
1,26,1,0,1,4,0,0,2.209560522,3.497302411,159,ebb
1,27,2,2,0,11,0,0,2.145094187,3.222562686,157,ebb
1,28,0,2,0,12,0,0,2.068366305,3.72393571,132,ebb
1,29,0,0,1,9,0,0,2.030579233,4.52220204,130,ebb
1,3,0,0,0,6,0,0,2.662871991,22.89888215,228,ebb
1,30,0,2,0,12,0,0,1.997386714,5.083050611,131,ebb
1,31,0,3,0,1,0,0,2.035548158,30.60283174,136,ebb
1,32,2,2,0,19,0,0,2.101407005,29.22944328,177,ebb
1,33,1,1,0,42,0,0,1.966658295,25.3588277,670,ebb
1,34,4,5,1,42,0,0,1.823400253,29.36251381,905,ebb
1,35,6,6,2,56,0,0,1.668891214,27.9037854,1986,ebb
1,36,0,4,0,20,0,0,1.49095534,41.00067723,141,ebb
1,4,0,0,0,2,0,0,3.058388174,4.707200068,219,ebb
1,5,0,0,0,2,0,0,3.220129936,2.671475718,78,ebb
1,6,0,0,0,2,0,0,3.272886484,1.490200113,62,ebb
1,7,0,0,0,0,0,0,3.319369123,11.96429028,57,ebb
1,8,0,0,0,0,0,0,3.477472904,5.757610385,52,ebb
1,9,0,0,0,12,0,0,3.573248895,2.993803509,57,ebb
10,1,1,0,0,3,0,0,0.362153283,2.23615501,292,flood
10,10,0,0,7,29,0,0,2.330753196,1.873265043,46,flood
10,11,0,0,0,0,0,0,2.189121367,2.766031,49,flood
10,12,0,0,0,0,0,0,2.048181018,1.648951873,55,flood
10,13,0,1,0,0,0,0,1.885971522,1.53274397,67,flood
10,14,0,0,0,1,0,0,1.725505791,1.561703605,86,flood
10,15,0,0,0,5,0,0,1.537400933,4.201636961,179,flood
10,16,0,0,0,2,0,0,1.357601476,3.319348754,187,flood
10,17,0,0,0,2,0,0,1.252582062,1.864426985,130,flood
10,18,0,0,0,0,0,0,1.232547271,2.391448799,144,flood
10,19,0,1,0,6,0,0,1.34227261,2.841564248,210,flood
10,2,0,0,0,1,0,1,0.694831377,33.45233585,185,flood
10,20,0,0,1,0,0,0,1.154094504,6.917389874,366,flood
10,21,0,0,1,1,0,0,1.084219351,3.262387086,279,flood
10,22,0,0,0,0,0,0,1.288275561,3.155279204,196,flood
10,23,0,0,49,1,0,0,1.571549624,3.0913114,165,flood
10,24,0,0,1,2,0,0,1.721773267,3.015308507,146,flood
10,25,0,0,0,7,0,0,1.847022769,3.324112373,134,flood
10,26,0,0,0,16,0,0,2.032243624,3.467983888,125,flood
10,27,0,0,0,0,0,0,2.1211871,3.634327011,90,flood
10,28,0,0,1,1,0,0,2.05247367,3.229713402,97,flood
10,29,0,1,1,0,0,0,2.010289687,19.07430934,134,flood
10,3,0,0,0,1,0,0,3.020848895,29.83254037,105,flood
10,30,1,0,0,0,0,0,1.809105735,44.66385459,132,flood
10,31,0,0,0,0,0,0,1.844017656,30.82425942,128,flood
10,32,0,0,0,0,0,0,1.832811263,15.48714359,194,flood
10,33,0,0,0,1,1,0,1.619876461,6.553282972,254,flood
10,34,0,0,0,5,1,0,1.300929797,7.297634664,301,flood
10,35,4,0,0,1,1,0,0.824046954,5.454065108,296,flood
10,36,0,0,0,2,1,0,0.133802082,2.955299821,1028,flood
10,4,0,0,0,0,0,0,3.305172558,1.639419547,86,flood
10,5,0,0,0,0,0,0,3.061501092,1.443734015,65,flood
10,6,0,0,0,1,0,0,2.831699364,1.558516764,55,flood
10,7,0,0,0,2,0,0,2.6587916,1.37677362,50,flood
10,8,0,0,0,0,0,0,2.560744413,1.425794696,46,flood
10,9,0,0,0,0,0,0,2.455068578,1.502829556,45,flood
11,1,2,0,0,2,0,0,0.4753055,2.53581969,271,flood
