survey,loc_id,benthic_feeder,pelagic_feeder,surface_feeder,gu,sandeels_presence,fish_presence,velocity,proportion,npoints,tides
12,18,0,0,0,0,0,0,0.175831463,2.530396102,59,ebb
12,19,0,0,0,0,0,0,0.472439679,3.205087515,66,ebb
12,2,0,0,0,0,0,1,1.381945912,2.225290941,68,ebb
12,20,0,0,0,0,0,0,1.584498533,4.910241348,92,ebb
12,21,0,0,0,0,0,0,1.731675033,7.975794951,61,ebb
12,22,0,0,0,0,0,0,1.730927907,3.494439116,43,ebb
12,23,0,0,0,0,0,0,1.729621281,3.340493438,32,ebb
12,24,0,0,0,0,0,0,1.65683724,3.38638232,25,ebb
12,25,0,0,0,0,0,0,1.526881409,3.452216818,22,ebb
12,26,0,0,0,0,0,0,1.45744645,3.35853695,20,ebb
12,27,0,0,0,0,0,0,1.407923667,3.492750611,18,ebb
12,28,0,0,0,0,0,0,1.341714789,3.377854737,19,ebb
12,29,0,0,0,0,0,0,1.261742389,3.606582833,18,ebb
12,3,0,0,0,0,0,0,1.598834778,1.571027981,54,ebb
12,30,0,0,0,0,0,0,1.2620927,3.6502051,20,ebb
12,31,0,0,0,0,0,0,1.248166958,3.790792,24,ebb
12,32,0,0,0,0,0,0,1.156364034,3.736888724,29,ebb
12,33,0,0,0,0,0,0,0.98358116,3.265592119,42,ebb
12,34,0,0,0,0,0,0,1.092837809,3.764697574,47,ebb
12,35,0,0,0,0,0,0,1.176107589,4.764400875,56,ebb
12,36,0,0,0,0,0,0,1.094378148,3.208510934,61,ebb
12,4,0,0,0,0,0,0,1.766613395,1.569215209,43,ebb
12,5,0,0,0,0,0,0,1.843465441,1.503317382,34,ebb
12,6,0,0,0,0,0,0,1.894241939,1.537685606,33,ebb
12,7,0,0,0,0,0,0,1.947124692,1.527674538,26,ebb
12,8,0,0,0,0,0,0,2.023389833,1.512617917,24,ebb
12,9,0,0,0,0,0,0,2.087993095,1.574131381,21,ebb
13,1,0,0,0,0,0,0,1.00145186,2.851376545,55,ebb
13,10,0,0,0,0,0,0,1.993582259,1.560817407,27,ebb
13,11,0,0,0,0,0,0,1.908875897,1.588067345,29,ebb
13,12,0,0,0,0,0,0,1.459508851,1.655906128,47,ebb
13,13,0,0,0,0,0,0,0.454488095,1.799023833,66,ebb
13,14,0,0,0,0,0,0,0.233465795,1.766411708,65,ebb
13,15,0,0,0,0,0,0,0.344261415,1.778921831,65,ebb
13,16,0,0,0,0,0,0,0.270798119,1.729650953,64,ebb
13,17,0,0,0,0,0,0,0.12755878,1.752833886,79,ebb
13,18,0,0,0,0,0,0,0.12800172,2.381773741,54,ebb
13,19,0,0,0,0,0,0,0.49879541,2.846888267,60,ebb
13,2,0,0,0,0,0,0,1.309082797,1.847448169,59,ebb
13,20,0,0,0,0,0,0,1.519909265,3.900645388,98,ebb
13,21,0,0,0,0,0,0,1.614680128,6.557751359,78,ebb
13,22,0,0,0,0,0,0,1.619798672,4.780848655,58,ebb
13,23,0,0,0,0,0,0,1.696414179,3.549759718,39,ebb
13,24,0,0,0,0,0,0,1.54047969,3.308294448,29,ebb
13,25,0,0,0,0,0,0,1.526097952,3.495407524,21,ebb
13,26,0,0,0,0,0,0,1.416752842,3.371513474,19,ebb
13,27,0,0,0,0,0,0,1.359568688,3.48946825,16,ebb
13,28,0,0,0,0,0,0,1.258284471,3.404920588,17,ebb
13,29,0,0,0,0,0,0,1.219676056,3.399675444,18,ebb
13,3,0,0,0,0,0,0,1.445829567,1.738672119,67,ebb
13,30,0,0,0,0,0,0,1.191276333,3.549213556,18,ebb
13,31,0,0,0,0,0,0,1.135528591,3.544650864,22,ebb
13,32,0,0,0,0,0,0,1.095205967,3.6298765,30,ebb
13,33,0,0,0,0,0,0,0.944662813,3.450778385,39,ebb
13,34,0,0,0,0,0,0,0.895223684,3.534031364,55,ebb
13,35,0,0,0,0,0,0,0.970338244,3.976936765,68,ebb
13,36,0,0,0,0,0,0,0.907039508,3.956515983,59,ebb
13,4,0,0,0,0,0,0,1.535505385,1.511148077,52,ebb
13,5,0,0,0,0,0,0,1.623820513,1.573637308,39,ebb
13,6,0,0,0,0,0,0,1.702996594,1.510511156,32,ebb
13,7,0,0,0,0,0,0,1.774049385,1.496010154,26,ebb
13,8,0,0,0,0,0,0,1.8592208,1.5059196,25,ebb
